Buffer size: 65536; Object size: 192; Weak refs for all: true
[GC (System.gc())  8475K->1928K(61440K), 0.0022125 secs]
[Full GC (System.gc())  1928K->1728K(61440K), 0.0108639 secs]
[GC (Allocation Failure)  26304K->3072K(61440K), 0.0132267 secs]
[GC (Allocation Failure)  27648K->2280K(61440K), 0.0048668 secs]
[GC (Allocation Failure)  26856K->3544K(61440K), 0.0261711 secs]
[GC (Allocation Failure)  28120K->2680K(61440K), 0.0119711 secs]
[GC (Allocation Failure)  27256K->3960K(61440K), 0.0340221 secs]
[GC (Allocation Failure)  28536K->3128K(61440K), 0.0187867 secs]
[GC (Allocation Failure)  27704K->2264K(61440K), 0.0051127 secs]
[GC (Allocation Failure)  26840K->3512K(61440K), 0.0211667 secs]
[GC (Allocation Failure)  28088K->2648K(61440K), 0.0088182 secs]
[GC (Allocation Failure)  27224K->3928K(61440K), 0.0257022 secs]
[GC (Allocation Failure)  28504K->3128K(61440K), 0.0161030 secs]
[GC (Allocation Failure)  27704K->2264K(61440K), 0.0057277 secs]
[GC (Allocation Failure)  26840K->3512K(61440K), 0.0258216 secs]
[GC (Allocation Failure)  28088K->2680K(61440K), 0.0103805 secs]
[GC (Allocation Failure)  27256K->3960K(61440K), 0.0318822 secs]
[GC (Allocation Failure)  28536K->3160K(61440K), 0.0174294 secs]
[GC (Allocation Failure)  27736K->2296K(61440K), 0.0081206 secs]
[GC (Allocation Failure)  26872K->3480K(61440K), 0.0323598 secs]
[GC (Allocation Failure)  28056K->2776K(61440K), 0.0159955 secs]
[GC (Allocation Failure)  27352K->3928K(61440K), 0.0401403 secs]
[GC (Allocation Failure)  28504K->3064K(61440K), 0.0163658 secs]
[GC (Allocation Failure)  27640K->2232K(61440K), 0.0044614 secs]
[GC (Allocation Failure)  26808K->3512K(61440K), 0.0220150 secs]
[GC (Allocation Failure)  28088K->2648K(61440K), 0.0108599 secs]
[GC (Allocation Failure)  27224K->3928K(61440K), 0.0305670 secs]
[GC (Allocation Failure)  28504K->3160K(61440K), 0.0183775 secs]
[GC (Allocation Failure)  27736K->2328K(61440K), 0.0052102 secs]
[GC (Allocation Failure)  26904K->3544K(61440K), 0.0226285 secs]
[GC (Allocation Failure)  28120K->2712K(61440K), 0.0115821 secs]
[GC (Allocation Failure)  27288K->3928K(61440K), 0.0285360 secs]
[GC (Allocation Failure)  28504K->3064K(61440K), 0.0193717 secs]
[GC (Allocation Failure)  27640K->2296K(61440K), 0.0066025 secs]
[GC (Allocation Failure)  26872K->3480K(61440K), 0.0292883 secs]
[GC (Allocation Failure)  28056K->2680K(61440K), 0.0120656 secs]
[GC (Allocation Failure)  27256K->3928K(61440K), 0.0317209 secs]
[GC (Allocation Failure)  28504K->3096K(61440K), 0.0200179 secs]
[GC (Allocation Failure)  27672K->2296K(61440K), 0.0048741 secs]
[GC (Allocation Failure)  26872K->3512K(61440K), 0.0236336 secs]
[GC (Allocation Failure)  28088K->2712K(61440K), 0.0112726 secs]
[GC (Allocation Failure)  27288K->3896K(61440K), 0.0311326 secs]
[GC (Allocation Failure)  28472K->3096K(61440K), 0.0183267 secs]
[GC (Allocation Failure)  27672K->2264K(61440K), 0.0050946 secs]
[GC (Allocation Failure)  26840K->3544K(61440K), 0.0238246 secs]
[GC (Allocation Failure)  28120K->2680K(61440K), 0.0107444 secs]
[GC (Allocation Failure)  27256K->3896K(61440K), 0.0300766 secs]
[GC (Allocation Failure)  28472K->3096K(61440K), 0.0162428 secs]
[GC (Allocation Failure)  27672K->2296K(61440K), 0.0058559 secs]
[GC (Allocation Failure)  26872K->3512K(61440K), 0.0237097 secs]
[GC (Allocation Failure)  28088K->2680K(61440K), 0.0113720 secs]
[GC (Allocation Failure)  27256K->3960K(61440K), 0.0304468 secs]
[GC (Allocation Failure)  28536K->3096K(61440K), 0.0141522 secs]
[GC (Allocation Failure)  27672K->2264K(61440K), 0.0050845 secs]
[GC (Allocation Failure)  26840K->3512K(61440K), 0.0219253 secs]
