Buffer size: 65536; Object size: 192; Weak refs for all: false
[GC (Allocation Failure)  18327K->5943K(22528K), 0.0225289 secs]
[GC (Allocation Failure)  18231K->5431K(22528K), 0.0137132 secs]
[GC (Allocation Failure)  17719K->5111K(22528K), 0.0094478 secs]
[GC (Allocation Failure)  17399K->4695K(22528K), 0.0041176 secs]
[GC (Allocation Failure)  16983K->6351K(22528K), 0.0287855 secs]
[GC (Allocation Failure)  18639K->6255K(22528K), 0.0236037 secs]
[GC (Allocation Failure)  18543K->5839K(22528K), 0.0149504 secs]
[GC (Allocation Failure)  18127K->5423K(22528K), 0.0107801 secs]
[GC (Allocation Failure)  17711K->5007K(22528K), 0.0040569 secs]
[GC (Allocation Failure)  17295K->6687K(22528K), 0.0252147 secs]
[GC (Allocation Failure)  18975K->6559K(22528K), 0.0166961 secs]
[GC (Allocation Failure)  18847K->6239K(22528K), 0.0145476 secs]
[GC (Allocation Failure)  18527K->5791K(22528K), 0.0081737 secs]
[GC (Allocation Failure)  18079K->5311K(22528K), 0.0041091 secs]
[GC (Allocation Failure)  17599K->7007K(22528K), 0.0226962 secs]
[GC (Allocation Failure)  19295K->6943K(22528K), 0.0187731 secs]
[GC (Allocation Failure)  19231K->6527K(22528K), 0.0125377 secs]
[GC (Allocation Failure)  18815K->6111K(22528K), 0.0089320 secs]
[GC (Allocation Failure)  18399K->5631K(22528K), 0.0041056 secs]
[GC (Allocation Failure)  17919K->7303K(22528K), 0.0211204 secs]
[GC (Allocation Failure)  19591K->7239K(22528K), 0.0200668 secs]
[GC (Allocation Failure)  19527K->6823K(22528K), 0.0125055 secs]
[GC (Allocation Failure)  19111K->6439K(22528K), 0.0080587 secs]
[GC (Allocation Failure)  18727K->5959K(22528K), 0.0034469 secs]
[GC (Allocation Failure)  18247K->7679K(22528K), 0.0191205 secs]
[GC (Allocation Failure)  19967K->7583K(22528K), 0.0189671 secs]
[GC (Allocation Failure)  19871K->7135K(22528K), 0.0125791 secs]
[GC (Allocation Failure)  19423K->6719K(22528K), 0.0086773 secs]
[GC (Allocation Failure)  19007K->6271K(22528K), 0.0039522 secs]
[GC (Allocation Failure)  18559K->8031K(22528K), 0.0234354 secs]
[GC (Allocation Failure)  20319K->7839K(22528K), 0.0195413 secs]
[GC (Allocation Failure)  20127K->7423K(22528K), 0.0149801 secs]
[GC (Allocation Failure)  19711K->7039K(22528K), 0.0081619 secs]
[GC (Allocation Failure)  19327K->6623K(22528K), 0.0028843 secs]
[GC (Allocation Failure)  18911K->8311K(22528K), 0.0258624 secs]
[GC (Allocation Failure)  20599K->8151K(22528K), 0.0195383 secs]
[GC (Allocation Failure)  20439K->7767K(22528K), 0.0135783 secs]
[GC (Allocation Failure)  20055K->7383K(22528K), 0.0077756 secs]
[GC (Allocation Failure)  19671K->6935K(22528K), 0.0035956 secs]
[GC (Allocation Failure)  19223K->8591K(22528K), 0.0238505 secs]
[GC (Allocation Failure)  20879K->8463K(22528K), 0.0189988 secs]
[GC (Allocation Failure)  20751K->8047K(22528K), 0.0115649 secs]
[GC (Allocation Failure)  20335K->7663K(22528K), 0.0072495 secs]
[GC (Allocation Failure)  19951K->7183K(22528K), 0.0035170 secs]
[GC (Allocation Failure)  19471K->8895K(22528K), 0.0232460 secs]
[GC (Allocation Failure)  21183K->8799K(22528K), 0.0193989 secs]
[GC (Allocation Failure)  21087K->8287K(22528K), 0.0131835 secs]
[GC (Allocation Failure)  20575K->7903K(22528K), 0.0085268 secs]
[GC (Allocation Failure)  20191K->7519K(22528K), 0.0036627 secs]
[GC (Allocation Failure)  19807K->9175K(22528K), 0.0227237 secs]
[Full GC (Ergonomics)  9175K->3465K(22528K), 0.0498525 secs]
[GC (Allocation Failure)  15753K->5065K(22528K), 0.0208257 secs]
[GC (Allocation Failure)  17353K->4713K(22528K), 0.0132596 secs]
[GC (Allocation Failure)  17001K->4297K(22528K), 0.0093209 secs]
[GC (Allocation Failure)  16585K->3817K(22528K), 0.0033902 secs]
