[GC (System.gc())  7893K->1736K(22528K), 0.0029002 secs]
[Full GC (System.gc())  1736K->1563K(22528K), 0.0107859 secs]
[GC (Allocation Failure)  13851K->1883K(22528K), 0.0018014 secs]
[GC (Allocation Failure)  14171K->1923K(22528K), 0.0024911 secs]
[GC (Allocation Failure)  14211K->1963K(22528K), 0.0038974 secs]
[GC (Allocation Failure)  14251K->2091K(22528K), 0.0051968 secs]
[GC (Allocation Failure)  14379K->2251K(22528K), 0.0072372 secs]
[GC (Allocation Failure)  14539K->2283K(22528K), 0.0087346 secs]
[GC (Allocation Failure)  14571K->2443K(22528K), 0.0100125 secs]
[GC (Allocation Failure)  14731K->1675K(22528K), 0.0011905 secs]
[GC (Allocation Failure)  13963K->1931K(22528K), 0.0022969 secs]
[GC (Allocation Failure)  14219K->1963K(22528K), 0.0029812 secs]
[GC (Allocation Failure)  14251K->1995K(22528K), 0.0040059 secs]
[GC (Allocation Failure)  14283K->2187K(22528K), 0.0054088 secs]
[GC (Allocation Failure)  14475K->2251K(22528K), 0.0064153 secs]
[GC (Allocation Failure)  14539K->2347K(22528K), 0.0070554 secs]
[GC (Allocation Failure)  14635K->2475K(22528K), 0.0105765 secs]
[GC (Allocation Failure)  14763K->1675K(22528K), 0.0019217 secs]
[GC (Allocation Failure)  13963K->1931K(22528K), 0.0029682 secs]
[GC (Allocation Failure)  14219K->1963K(22528K), 0.0040020 secs]
[GC (Allocation Failure)  14251K->2123K(22528K), 0.0043730 secs]
[GC (Allocation Failure)  14411K->2155K(22528K), 0.0068863 secs]
[GC (Allocation Failure)  14443K->2251K(22528K), 0.0077865 secs]
[GC (Allocation Failure)  14539K->2443K(22528K), 0.0091666 secs]
[GC (Allocation Failure)  14731K->1643K(22528K), 0.0013764 secs]
[GC (Allocation Failure)  13931K->1803K(22528K), 0.0013935 secs]
[GC (Allocation Failure)  14091K->1963K(22528K), 0.0030634 secs]
[GC (Allocation Failure)  14251K->2059K(22528K), 0.0031286 secs]
[GC (Allocation Failure)  14347K->2123K(22528K), 0.0055806 secs]
[GC (Allocation Failure)  14411K->2187K(22528K), 0.0057114 secs]
[GC (Allocation Failure)  14475K->2411K(22528K), 0.0092409 secs]
[GC (Allocation Failure)  14699K->2411K(22528K), 0.0107180 secs]
[GC (Allocation Failure)  14699K->1675K(22528K), 0.0015628 secs]
[GC (Allocation Failure)  13963K->1899K(22528K), 0.0027135 secs]
[GC (Allocation Failure)  14187K->2027K(22528K), 0.0035763 secs]
[GC (Allocation Failure)  14315K->2059K(22528K), 0.0055393 secs]
[GC (Allocation Failure)  14347K->2155K(22528K), 0.0052449 secs]
[GC (Allocation Failure)  14443K->2315K(22528K), 0.0079384 secs]
[GC (Allocation Failure)  14603K->2411K(22528K), 0.0091872 secs]
[GC (Allocation Failure)  14699K->1611K(22528K), 0.0012110 secs]
[GC (Allocation Failure)  13899K->1867K(22528K), 0.0021060 secs]
[GC (Allocation Failure)  14155K->1931K(22528K), 0.0027253 secs]
[GC (Allocation Failure)  14219K->2027K(22528K), 0.0040437 secs]
[GC (Allocation Failure)  14315K->2187K(22528K), 0.0055580 secs]
[GC (Allocation Failure)  14475K->2251K(22528K), 0.0075972 secs]
[GC (Allocation Failure)  14539K->2315K(22528K), 0.0089354 secs]
[GC (Allocation Failure)  14603K->2443K(22528K), 0.0112871 secs]
[GC (Allocation Failure)  14731K->1739K(22528K), 0.0013171 secs]
[GC (Allocation Failure)  14027K->1867K(22528K), 0.0023423 secs]
[GC (Allocation Failure)  14155K->1931K(22528K), 0.0032591 secs]
[GC (Allocation Failure)  14219K->2027K(22528K), 0.0045647 secs]
[GC (Allocation Failure)  14315K->2219K(22528K), 0.0071348 secs]
[GC (Allocation Failure)  14507K->2315K(22528K), 0.0095534 secs]
[GC (Allocation Failure)  14603K->2379K(22528K), 0.0110971 secs]
[GC (Allocation Failure)  14667K->2443K(22528K), 0.0147708 secs]
[GC (Allocation Failure)  14731K->1835K(22528K), 0.0012203 secs]
[GC (Allocation Failure)  14123K->1963K(22528K), 0.0042911 secs]
[GC (Allocation Failure)  14251K->1995K(22528K), 0.0039656 secs]
[GC (Allocation Failure)  14283K->2123K(22528K), 0.0078267 secs]
[GC (Allocation Failure)  14411K->2219K(22528K), 0.0081025 secs]
[GC (Allocation Failure)  14507K->2315K(22528K), 0.0091187 secs]
[GC (Allocation Failure)  14603K->2411K(22528K), 0.0123987 secs]
[GC (Allocation Failure)  14699K->1707K(22528K), 0.0017930 secs]
[GC (Allocation Failure)  13995K->1867K(22528K), 0.0027649 secs]
[GC (Allocation Failure)  14155K->1931K(22528K), 0.0030751 secs]
[GC (Allocation Failure)  14219K->2059K(22528K), 0.0043469 secs]
[GC (Allocation Failure)  14347K->2123K(22528K), 0.0052374 secs]
[GC (Allocation Failure)  14411K->2219K(22528K), 0.0079835 secs]
[GC (Allocation Failure)  14507K->2315K(22528K), 0.0099736 secs]
[GC (Allocation Failure)  14603K->2443K(22528K), 0.0131332 secs]
[GC (Allocation Failure)  14731K->1771K(22528K), 0.0015138 secs]
[GC (Allocation Failure)  14059K->1899K(22528K), 0.0035300 secs]
