[GC (System.gc())  7893K->1720K(22528K), 0.0025115 secs]
[Full GC (System.gc())  1720K->1563K(22528K), 0.0107255 secs]
[GC (Allocation Failure)  13851K->1851K(22528K), 0.0015801 secs]
[GC (Allocation Failure)  14139K->1899K(22528K), 0.0027465 secs]
[GC (Allocation Failure)  14187K->2035K(22528K), 0.0034359 secs]
[GC (Allocation Failure)  14323K->2099K(22528K), 0.0051844 secs]
[GC (Allocation Failure)  14387K->2195K(22528K), 0.0059347 secs]
[GC (Allocation Failure)  14483K->2291K(22528K), 0.0066803 secs]
[GC (Allocation Failure)  14579K->2355K(22528K), 0.0085947 secs]
[GC (Allocation Failure)  14643K->1683K(22528K), 0.0014111 secs]
[GC (Allocation Failure)  13971K->1875K(22528K), 0.0021954 secs]
[GC (Allocation Failure)  14163K->1939K(22528K), 0.0033108 secs]
[GC (Allocation Failure)  14227K->2099K(22528K), 0.0042140 secs]
[GC (Allocation Failure)  14387K->2163K(22528K), 0.0060438 secs]
[GC (Allocation Failure)  14451K->2323K(22528K), 0.0070462 secs]
[GC (Allocation Failure)  14611K->2419K(22528K), 0.0077515 secs]
[GC (Allocation Failure)  14707K->2515K(22528K), 0.0098677 secs]
[GC (Allocation Failure)  14803K->1875K(22528K), 0.0021494 secs]
[GC (Allocation Failure)  14163K->1907K(22528K), 0.0033279 secs]
[GC (Allocation Failure)  14195K->1971K(22528K), 0.0033328 secs]
[GC (Allocation Failure)  14259K->2067K(22528K), 0.0044714 secs]
[GC (Allocation Failure)  14355K->2163K(22528K), 0.0060522 secs]
[GC (Allocation Failure)  14451K->2259K(22528K), 0.0069390 secs]
[GC (Allocation Failure)  14547K->2355K(22528K), 0.0082356 secs]
[GC (Allocation Failure)  14643K->1619K(22528K), 0.0015245 secs]
[GC (Allocation Failure)  13907K->1907K(22528K), 0.0021431 secs]
[GC (Allocation Failure)  14195K->1939K(22528K), 0.0029375 secs]
[GC (Allocation Failure)  14227K->2067K(22528K), 0.0041886 secs]
[GC (Allocation Failure)  14355K->2131K(22528K), 0.0050411 secs]
[GC (Allocation Failure)  14419K->2195K(22528K), 0.0059731 secs]
[GC (Allocation Failure)  14483K->2387K(22528K), 0.0069933 secs]
[GC (Allocation Failure)  14675K->2483K(22528K), 0.0101704 secs]
[GC (Allocation Failure)  14771K->1875K(22528K), 0.0013550 secs]
[GC (Allocation Failure)  14163K->1907K(22528K), 0.0023265 secs]
[GC (Allocation Failure)  14195K->1971K(22528K), 0.0031085 secs]
[GC (Allocation Failure)  14259K->2067K(22528K), 0.0042177 secs]
[GC (Allocation Failure)  14355K->2195K(22528K), 0.0059100 secs]
[GC (Allocation Failure)  14483K->2259K(22528K), 0.0077337 secs]
[GC (Allocation Failure)  14547K->2387K(22528K), 0.0081636 secs]
[GC (Allocation Failure)  14675K->1651K(22528K), 0.0011571 secs]
[GC (Allocation Failure)  13939K->1875K(22528K), 0.0015582 secs]
[GC (Allocation Failure)  14163K->1907K(22528K), 0.0032513 secs]
[GC (Allocation Failure)  14195K->2003K(22528K), 0.0040785 secs]
[GC (Allocation Failure)  14291K->2195K(22528K), 0.0049485 secs]
[GC (Allocation Failure)  14483K->2195K(22528K), 0.0064507 secs]
[GC (Allocation Failure)  14483K->2355K(22528K), 0.0089871 secs]
[GC (Allocation Failure)  14643K->2451K(22528K), 0.0114681 secs]
[GC (Allocation Failure)  14739K->1811K(22528K), 0.0012578 secs]
[GC (Allocation Failure)  14099K->1875K(22528K), 0.0026591 secs]
[GC (Allocation Failure)  14163K->1971K(22528K), 0.0033440 secs]
[GC (Allocation Failure)  14259K->2067K(22528K), 0.0048308 secs]
[GC (Allocation Failure)  14355K->2131K(22528K), 0.0062857 secs]
[GC (Allocation Failure)  14419K->2227K(22528K), 0.0066025 secs]
[GC (Allocation Failure)  14515K->2515K(22528K), 0.0088856 secs]
[GC (Allocation Failure)  14803K->2619K(22528K), 0.0101907 secs]
[GC (Allocation Failure)  14907K->2043K(22528K), 0.0019806 secs]
[GC (Allocation Failure)  14331K->2075K(22528K), 0.0033364 secs]
[GC (Allocation Failure)  14363K->2171K(22528K), 0.0040484 secs]
[GC (Allocation Failure)  14459K->2267K(22528K), 0.0046782 secs]
[GC (Allocation Failure)  14555K->2395K(22528K), 0.0057326 secs]
[GC (Allocation Failure)  14683K->2491K(22528K), 0.0067548 secs]
[GC (Allocation Failure)  14779K->2523K(22528K), 0.0073886 secs]
[GC (Allocation Failure)  14811K->1851K(22528K), 0.0017063 secs]
[GC (Allocation Failure)  14139K->2043K(22528K), 0.0027908 secs]
[GC (Allocation Failure)  14331K->2171K(22528K), 0.0034698 secs]
[GC (Allocation Failure)  14459K->2235K(22528K), 0.0046963 secs]
[GC (Allocation Failure)  14523K->2299K(22528K), 0.0062030 secs]
[GC (Allocation Failure)  14587K->2427K(22528K), 0.0080654 secs]
[GC (Allocation Failure)  14715K->2555K(22528K), 0.0092961 secs]
[GC (Allocation Failure)  14843K->2651K(22528K), 0.0111084 secs]
[GC (Allocation Failure)  14939K->1979K(22528K), 0.0016177 secs]
[GC (Allocation Failure)  14267K->2107K(22528K), 0.0021549 secs]
[GC (Allocation Failure)  14395K->2171K(22528K), 0.0029186 secs]
[GC (Allocation Failure)  14459K->2235K(22528K), 0.0051836 secs]
[GC (Allocation Failure)  14523K->2395K(22528K), 0.0059139 secs]
[GC (Allocation Failure)  14683K->2491K(22528K), 0.0074381 secs]
[GC (Allocation Failure)  14779K->2587K(22528K), 0.0088644 secs]
[GC (Allocation Failure)  14875K->1819K(22528K), 0.0012279 secs]
[GC (Allocation Failure)  14107K->2043K(22528K), 0.0023877 secs]
