[GC (System.gc())  8554K->1704K(61440K), 0.0029270 secs]
[Full GC (System.gc())  1704K->1563K(61440K), 0.0108147 secs]
[GC (Allocation Failure)  26139K->1883K(61440K), 0.0025864 secs]
[GC (Allocation Failure)  26459K->2307K(61440K), 0.0050349 secs]
[GC (Allocation Failure)  26883K->2875K(61440K), 0.0061421 secs]
[GC (Allocation Failure)  27451K->3579K(61440K), 0.0090000 secs]
[GC (Allocation Failure)  28155K->3867K(61440K), 0.0047232 secs]
[GC (Allocation Failure)  28443K->4251K(61440K), 0.0049571 secs]
[GC (Allocation Failure)  28827K->4819K(61440K), 0.0070880 secs]
[GC (Allocation Failure)  29395K->4819K(61440K), 0.0032666 secs]
[GC (Allocation Failure)  29395K->5195K(61440K), 0.0028691 secs]
[GC (Allocation Failure)  29771K->5683K(61440K), 0.0051726 secs]
[GC (Allocation Failure)  30259K->6251K(61440K), 0.0075131 secs]
[GC (Allocation Failure)  30827K->6467K(61440K), 0.0032977 secs]
[GC (Allocation Failure)  31043K->6707K(61440K), 0.0035276 secs]
[GC (Allocation Failure)  31283K->7275K(61440K), 0.0052158 secs]
[GC (Allocation Failure)  31851K->7987K(61440K), 0.0085413 secs]
[GC (Allocation Failure)  32563K->8195K(61440K), 0.0043806 secs]
[GC (Allocation Failure)  32771K->8515K(61440K), 0.0039487 secs]
[GC (Allocation Failure)  33091K->9011K(61440K), 0.0062863 secs]
[GC (Allocation Failure)  33587K->9835K(61440K), 0.0083986 secs]
[GC (Allocation Failure)  34411K->10091K(61440K), 0.0039487 secs]
[GC (Allocation Failure)  34667K->10451K(61440K), 0.0048145 secs]
[GC (Allocation Failure)  35027K->11075K(61440K), 0.0068518 secs]
[GC (Allocation Failure)  35651K->11083K(61440K), 0.0032819 secs]
[GC (Allocation Failure)  35659K->11331K(61440K), 0.0023897 secs]
[GC (Allocation Failure)  35907K->11843K(61440K), 0.0049836 secs]
[GC (Allocation Failure)  36419K->12427K(61440K), 0.0077069 secs]
[GC (Allocation Failure)  37003K->12651K(61440K), 0.0031126 secs]
[GC (Allocation Failure)  37227K->12811K(61440K), 0.0038977 secs]
[GC (Allocation Failure)  37387K->13403K(61440K), 0.0062681 secs]
[GC (Allocation Failure)  37979K->14107K(61440K), 0.0088073 secs]
[GC (Allocation Failure)  38683K->14299K(61440K), 0.0038898 secs]
[GC (Allocation Failure)  38875K->14611K(61440K), 0.0045260 secs]
[GC (Allocation Failure)  39187K->15155K(61440K), 0.0089372 secs]
[GC (Allocation Failure)  39731K->15899K(61440K), 0.0099596 secs]
[GC (Allocation Failure)  40475K->16155K(61440K), 0.0042319 secs]
[GC (Allocation Failure)  40731K->16491K(61440K), 0.0047950 secs]
[GC (Allocation Failure)  41067K->17083K(61440K), 0.0067721 secs]
[GC (Allocation Failure)  41659K->17059K(61440K), 0.0030807 secs]
[GC (Allocation Failure)  41635K->17403K(61440K), 0.0026934 secs]
[GC (Allocation Failure)  41979K->17819K(61440K), 0.0045952 secs]
[GC (Allocation Failure)  42395K->18491K(61440K), 0.0067113 secs]
[GC (Allocation Failure)  43067K->18627K(61440K), 0.0034314 secs]
[GC (Allocation Failure)  43203K->18843K(61440K), 0.0035288 secs]
[GC (Allocation Failure)  43419K->19323K(61440K), 0.0054465 secs]
[GC (Allocation Failure)  43899K->20035K(61440K), 0.0071953 secs]
[GC (Allocation Failure)  44611K->20259K(61440K), 0.0038625 secs]
[GC (Allocation Failure)  44835K->20523K(61440K), 0.0036414 secs]
[GC (Allocation Failure)  45099K->21083K(61440K), 0.0064269 secs]
[GC (Allocation Failure)  45659K->21859K(61440K), 0.0074870 secs]
[GC (Allocation Failure)  46435K->22067K(61440K), 0.0047227 secs]
[GC (Allocation Failure)  46643K->22371K(61440K), 0.0045113 secs]
[GC (Allocation Failure)  46947K->23003K(61440K), 0.0066930 secs]
[GC (Allocation Failure)  47579K->23763K(61440K), 0.0095355 secs]
[GC (Allocation Failure)  48339K->23987K(61440K), 0.0049303 secs]
[GC (Allocation Failure)  48563K->24411K(61440K), 0.0049284 secs]
[GC (Allocation Failure)  48987K->25091K(61440K), 0.0061406 secs]
[GC (Allocation Failure)  49667K->25011K(61440K), 0.0032591 secs]
[GC (Allocation Failure)  49587K->25403K(61440K), 0.0033679 secs]
[GC (Allocation Failure)  49979K->25899K(61440K), 0.0044627 secs]
[GC (Allocation Failure)  50475K->26539K(61440K), 0.0066053 secs]
[GC (Allocation Failure)  51115K->26755K(61440K), 0.0033816 secs]
[GC (Allocation Failure)  51331K->26987K(61440K), 0.0040192 secs]
[GC (Allocation Failure)  51563K->27563K(61440K), 0.0060643 secs]
[GC (Allocation Failure)  52139K->28283K(61440K), 0.0095449 secs]
[GC (Allocation Failure)  52859K->28515K(61440K), 0.0046453 secs]
[GC (Allocation Failure)  53091K->28843K(61440K), 0.0044168 secs]
[GC (Allocation Failure)  53419K->29451K(61440K), 0.0069382 secs]
