[GC (System.gc())  8554K->1784K(61440K), 0.0029020 secs]
[Full GC (System.gc())  1784K->1563K(61440K), 0.0093972 secs]
[GC (Allocation Failure)  26139K->1915K(61440K), 0.0028712 secs]
[GC (Allocation Failure)  26491K->2051K(61440K), 0.0049779 secs]
[GC (Allocation Failure)  26627K->2379K(61440K), 0.0074613 secs]
[GC (Allocation Failure)  26955K->1675K(61440K), 0.0018173 secs]
[GC (Allocation Failure)  26251K->1963K(61440K), 0.0031824 secs]
[GC (Allocation Failure)  26539K->2155K(61440K), 0.0049061 secs]
[GC (Allocation Failure)  26731K->2411K(61440K), 0.0072634 secs]
[GC (Allocation Failure)  26987K->1899K(61440K), 0.0019286 secs]
[GC (Allocation Failure)  26475K->1995K(61440K), 0.0034473 secs]
[GC (Allocation Failure)  26571K->2219K(61440K), 0.0057496 secs]
[GC (Allocation Failure)  26795K->2411K(61440K), 0.0092311 secs]
[GC (Allocation Failure)  26987K->1899K(61440K), 0.0026622 secs]
[GC (Allocation Failure)  26475K->2091K(61440K), 0.0041958 secs]
[GC (Allocation Failure)  26667K->2187K(61440K), 0.0058653 secs]
[GC (Allocation Failure)  26763K->2507K(61440K), 0.0080249 secs]
[GC (Allocation Failure)  27083K->1899K(61440K), 0.0025919 secs]
[GC (Allocation Failure)  26475K->2123K(61440K), 0.0053096 secs]
[GC (Allocation Failure)  26699K->2347K(61440K), 0.0093029 secs]
[GC (Allocation Failure)  26923K->1707K(61440K), 0.0017415 secs]
[GC (Allocation Failure)  26283K->1995K(61440K), 0.0032508 secs]
[GC (Allocation Failure)  26571K->2123K(61440K), 0.0053489 secs]
[GC (Allocation Failure)  26699K->2379K(61440K), 0.0071576 secs]
[GC (Allocation Failure)  26955K->1835K(61440K), 0.0011584 secs]
[GC (Allocation Failure)  26411K->1995K(61440K), 0.0040629 secs]
[GC (Allocation Failure)  26571K->2187K(61440K), 0.0064820 secs]
[GC (Allocation Failure)  26763K->2411K(61440K), 0.0096564 secs]
[GC (Allocation Failure)  26987K->1867K(61440K), 0.0023364 secs]
[GC (Allocation Failure)  26443K->2059K(61440K), 0.0036989 secs]
[GC (Allocation Failure)  26635K->2283K(61440K), 0.0057858 secs]
[GC (Allocation Failure)  26859K->2443K(61440K), 0.0087047 secs]
[GC (Allocation Failure)  27019K->1899K(61440K), 0.0026944 secs]
[GC (Allocation Failure)  26475K->2059K(61440K), 0.0042569 secs]
[GC (Allocation Failure)  26635K->2347K(61440K), 0.0067431 secs]
[GC (Allocation Failure)  26923K->1739K(61440K), 0.0013806 secs]
[GC (Allocation Failure)  26315K->1963K(61440K), 0.0031805 secs]
[GC (Allocation Failure)  26539K->2155K(61440K), 0.0051884 secs]
[GC (Allocation Failure)  26731K->2379K(61440K), 0.0081952 secs]
[GC (Allocation Failure)  26955K->1867K(61440K), 0.0014630 secs]
[GC (Allocation Failure)  26443K->1995K(61440K), 0.0036630 secs]
[GC (Allocation Failure)  26571K->2251K(61440K), 0.0070830 secs]
[GC (Allocation Failure)  26827K->2411K(61440K), 0.0102619 secs]
[GC (Allocation Failure)  26987K->1899K(61440K), 0.0020842 secs]
[GC (Allocation Failure)  26475K->2059K(61440K), 0.0047643 secs]
[GC (Allocation Failure)  26635K->2283K(61440K), 0.0071820 secs]
[GC (Allocation Failure)  26859K->2443K(61440K), 0.0094824 secs]
[GC (Allocation Failure)  27019K->1931K(61440K), 0.0030857 secs]
[GC (Allocation Failure)  26507K->2123K(61440K), 0.0058659 secs]
[GC (Allocation Failure)  26699K->2347K(61440K), 0.0075219 secs]
[GC (Allocation Failure)  26923K->1803K(61440K), 0.0015484 secs]
[GC (Allocation Failure)  26379K->1963K(61440K), 0.0027915 secs]
[GC (Allocation Failure)  26539K->2155K(61440K), 0.0044931 secs]
[GC (Allocation Failure)  26731K->2443K(61440K), 0.0064405 secs]
[GC (Allocation Failure)  27019K->1707K(61440K), 0.0013046 secs]
[GC (Allocation Failure)  26283K->1995K(61440K), 0.0031598 secs]
[GC (Allocation Failure)  26571K->2187K(61440K), 0.0050725 secs]
[GC (Allocation Failure)  26763K->2507K(61440K), 0.0068954 secs]
[GC (Allocation Failure)  27083K->1931K(61440K), 0.0018224 secs]
[GC (Allocation Failure)  26507K->2027K(61440K), 0.0038312 secs]
[GC (Allocation Failure)  26603K->2251K(61440K), 0.0061166 secs]
[GC (Allocation Failure)  26827K->2443K(61440K), 0.0090701 secs]
[GC (Allocation Failure)  27019K->1899K(61440K), 0.0027479 secs]
[GC (Allocation Failure)  26475K->2091K(61440K), 0.0047906 secs]
[GC (Allocation Failure)  26667K->2379K(61440K), 0.0074975 secs]
[GC (Allocation Failure)  26955K->1707K(61440K), 0.0015040 secs]
[GC (Allocation Failure)  26283K->1995K(61440K), 0.0031485 secs]
[GC (Allocation Failure)  26571K->2123K(61440K), 0.0059615 secs]
[GC (Allocation Failure)  26699K->2411K(61440K), 0.0086975 secs]
[GC (Allocation Failure)  26987K->1867K(61440K), 0.0023257 secs]
[GC (Allocation Failure)  26443K->1995K(61440K), 0.0031582 secs]
[GC (Allocation Failure)  26571K->2123K(61440K), 0.0063984 secs]
[GC (Allocation Failure)  26699K->2411K(61440K), 0.0105653 secs]
[GC (Allocation Failure)  26987K->1867K(61440K), 0.0022141 secs]
[GC (Allocation Failure)  26443K->2059K(61440K), 0.0044419 secs]
[GC (Allocation Failure)  26635K->2251K(61440K), 0.0064411 secs]
[GC (Allocation Failure)  26827K->2507K(61440K), 0.0092143 secs]
[GC (Allocation Failure)  27083K->1931K(61440K), 0.0019867 secs]
[GC (Allocation Failure)  26507K->2187K(61440K), 0.0047452 secs]
[GC (Allocation Failure)  26763K->2283K(61440K), 0.0071947 secs]
[GC (Allocation Failure)  26859K->1675K(61440K), 0.0012455 secs]
[GC (Allocation Failure)  26251K->1963K(61440K), 0.0025197 secs]
[GC (Allocation Failure)  26539K->2155K(61440K), 0.0044054 secs]
[GC (Allocation Failure)  26731K->2347K(61440K), 0.0066973 secs]
[GC (Allocation Failure)  26923K->1835K(61440K), 0.0010427 secs]
[GC (Allocation Failure)  26411K->1963K(61440K), 0.0040761 secs]
[GC (Allocation Failure)  26539K->2187K(61440K), 0.0052135 secs]
[GC (Allocation Failure)  26763K->2475K(61440K), 0.0073755 secs]
[GC (Allocation Failure)  27051K->1899K(61440K), 0.0021761 secs]
[GC (Allocation Failure)  26475K->2027K(61440K), 0.0037845 secs]
[GC (Allocation Failure)  26603K->2251K(61440K), 0.0069475 secs]
[GC (Allocation Failure)  26827K->2443K(61440K), 0.0099111 secs]
[GC (Allocation Failure)  27019K->1899K(61440K), 0.0026947 secs]
[GC (Allocation Failure)  26475K->2091K(61440K), 0.0045989 secs]
[GC (Allocation Failure)  26667K->2347K(61440K), 0.0074052 secs]
[GC (Allocation Failure)  26923K->1675K(61440K), 0.0013971 secs]
[GC (Allocation Failure)  26251K->1899K(61440K), 0.0036268 secs]
[GC (Allocation Failure)  26475K->2187K(61440K), 0.0061497 secs]
[GC (Allocation Failure)  26763K->2379K(61440K), 0.0096804 secs]
[GC (Allocation Failure)  26955K->1867K(61440K), 0.0019138 secs]
[GC (Allocation Failure)  26443K->1963K(61440K), 0.0036307 secs]
[GC (Allocation Failure)  26539K->2219K(61440K), 0.0060361 secs]
[GC (Allocation Failure)  26795K->2411K(61440K), 0.0094725 secs]
[GC (Allocation Failure)  26987K->1899K(61440K), 0.0018663 secs]
[GC (Allocation Failure)  26475K->2027K(61440K), 0.0044405 secs]
[GC (Allocation Failure)  26603K->2283K(61440K), 0.0063056 secs]
[GC (Allocation Failure)  26859K->2475K(61440K), 0.0088072 secs]
[GC (Allocation Failure)  27051K->1931K(61440K), 0.0023207 secs]
[GC (Allocation Failure)  26507K->2091K(61440K), 0.0045868 secs]
[GC (Allocation Failure)  26667K->2283K(61440K), 0.0066482 secs]
[GC (Allocation Failure)  26859K->1675K(61440K), 0.0014423 secs]
[GC (Allocation Failure)  26251K->1963K(61440K), 0.0030698 secs]
[GC (Allocation Failure)  26539K->2091K(61440K), 0.0054104 secs]
[GC (Allocation Failure)  26667K->2379K(61440K), 0.0069757 secs]
