[GC (System.gc())  7980K->1928K(22528K), 0.0022720 secs]
[Full GC (System.gc())  1928K->1721K(22528K), 0.0112569 secs]
[GC (Allocation Failure)  14009K->3801K(22528K), 0.0167482 secs]
[GC (Allocation Failure)  16089K->3233K(22528K), 0.0142091 secs]
[GC (Allocation Failure)  15521K->2673K(22528K), 0.0068576 secs]
[GC (Allocation Failure)  14961K->2161K(22528K), 0.0032455 secs]
[GC (Allocation Failure)  14449K->4105K(22528K), 0.0175891 secs]
[GC (Allocation Failure)  16393K->3817K(22528K), 0.0146153 secs]
[GC (Allocation Failure)  16105K->3305K(22528K), 0.0120487 secs]
[GC (Allocation Failure)  15593K->2633K(22528K), 0.0065574 secs]
[GC (Allocation Failure)  14921K->4617K(22528K), 0.0290543 secs]
[GC (Allocation Failure)  16905K->4617K(22528K), 0.0163642 secs]
[GC (Allocation Failure)  16905K->4009K(22528K), 0.0123225 secs]
[GC (Allocation Failure)  16297K->3401K(22528K), 0.0055166 secs]
[GC (Allocation Failure)  15689K->2889K(22528K), 0.0021261 secs]
[GC (Allocation Failure)  15177K->4817K(22528K), 0.0240470 secs]
[GC (Allocation Failure)  17105K->4433K(22528K), 0.0132879 secs]
[GC (Allocation Failure)  16721K->3953K(22528K), 0.0106038 secs]
[GC (Allocation Failure)  16241K->3249K(22528K), 0.0042807 secs]
[GC (Allocation Failure)  15537K->5249K(22528K), 0.0192077 secs]
[GC (Allocation Failure)  17537K->5121K(22528K), 0.0204921 secs]
[GC (Allocation Failure)  17409K->4609K(22528K), 0.0153126 secs]
[GC (Allocation Failure)  16897K->3969K(22528K), 0.0083539 secs]
[GC (Allocation Failure)  16257K->3457K(22528K), 0.0010061 secs]
[GC (Allocation Failure)  15745K->5361K(22528K), 0.0184829 secs]
[GC (Allocation Failure)  17649K->4913K(22528K), 0.0214272 secs]
[GC (Allocation Failure)  17201K->4369K(22528K), 0.0107640 secs]
[GC (Allocation Failure)  16657K->3793K(22528K), 0.0036527 secs]
[GC (Allocation Failure)  16081K->5729K(22528K), 0.0266371 secs]
[GC (Allocation Failure)  18017K->5473K(22528K), 0.0155902 secs]
[GC (Allocation Failure)  17761K->4993K(22528K), 0.0132213 secs]
[GC (Allocation Failure)  17281K->4353K(22528K), 0.0060186 secs]
[GC (Allocation Failure)  16641K->6329K(22528K), 0.0212419 secs]
[GC (Allocation Failure)  18617K->6345K(22528K), 0.0224238 secs]
[GC (Allocation Failure)  18633K->5833K(22528K), 0.0158542 secs]
[GC (Allocation Failure)  18121K->5193K(22528K), 0.0079569 secs]
[GC (Allocation Failure)  17481K->4713K(22528K), 0.0023387 secs]
[GC (Allocation Failure)  17001K->6641K(22528K), 0.0230269 secs]
[GC (Allocation Failure)  18929K->6385K(22528K), 0.0136628 secs]
[GC (Allocation Failure)  18673K->5777K(22528K), 0.0108622 secs]
[GC (Allocation Failure)  18065K->5169K(22528K), 0.0042294 secs]
[GC (Allocation Failure)  17457K->7169K(22528K), 0.0261862 secs]
[GC (Allocation Failure)  19457K->7105K(22528K), 0.0213966 secs]
[GC (Allocation Failure)  19393K->6561K(22528K), 0.0113203 secs]
[GC (Allocation Failure)  18849K->6017K(22528K), 0.0079246 secs]
[GC (Allocation Failure)  18305K->5409K(22528K), 0.0022831 secs]
[GC (Allocation Failure)  17697K->7361K(22528K), 0.0232762 secs]
[GC (Allocation Failure)  19649K->7009K(22528K), 0.0187569 secs]
[GC (Allocation Failure)  19297K->6369K(22528K), 0.0112107 secs]
[GC (Allocation Failure)  18657K->5793K(22528K), 0.0038226 secs]
[GC (Allocation Failure)  18081K->7793K(22528K), 0.0261280 secs]
[GC (Allocation Failure)  20081K->7633K(22528K), 0.0211447 secs]
[GC (Allocation Failure)  19921K->7121K(22528K), 0.0105642 secs]
[GC (Allocation Failure)  19409K->6513K(22528K), 0.0060091 secs]
[GC (Allocation Failure)  18801K->5873K(22528K), 0.0014075 secs]
[GC (Allocation Failure)  18161K->7881K(22528K), 0.0179985 secs]
[GC (Allocation Failure)  20169K->7369K(22528K), 0.0141835 secs]
[GC (Allocation Failure)  19657K->6857K(22528K), 0.0101148 secs]
[GC (Allocation Failure)  19145K->6249K(22528K), 0.0036993 secs]
[GC (Allocation Failure)  18537K->8233K(22528K), 0.0241269 secs]
[GC (Allocation Failure)  20521K->7977K(22528K), 0.0191316 secs]
[GC (Allocation Failure)  20265K->7497K(22528K), 0.0096899 secs]
[GC (Allocation Failure)  19785K->6857K(22528K), 0.0067570 secs]
[GC (Allocation Failure)  19145K->8817K(22528K), 0.0223985 secs]
[GC (Allocation Failure)  21105K->8849K(22528K), 0.0189850 secs]
[GC (Allocation Failure)  21137K->8273K(22528K), 0.0111094 secs]
[GC (Allocation Failure)  20561K->7697K(22528K), 0.0083135 secs]
[GC (Allocation Failure)  19985K->7153K(22528K), 0.0032980 secs]
[GC (Allocation Failure)  19441K->9089K(22528K), 0.0181579 secs]
[GC (Allocation Failure)  21377K->8833K(22528K), 0.0134793 secs]
[GC (Allocation Failure)  21121K->8257K(22528K), 0.0084690 secs]
[GC (Allocation Failure)  20545K->7617K(22528K), 0.0045105 secs]
[GC (Allocation Failure)  19905K->9577K(22528K), 0.0199592 secs]
[Full GC (Ergonomics)  9577K->3999K(22528K), 0.0509833 secs]
[GC (Allocation Failure)  16287K->6047K(22528K), 0.0180395 secs]
[GC (Allocation Failure)  18335K->5407K(22528K), 0.0115399 secs]
[GC (Allocation Failure)  17695K->4799K(22528K), 0.0062140 secs]
[GC (Allocation Failure)  17087K->4319K(22528K), 0.0020144 secs]
[GC (Allocation Failure)  16607K->6215K(22528K), 0.0224232 secs]
[GC (Allocation Failure)  18503K->5799K(22528K), 0.0180455 secs]
[GC (Allocation Failure)  18087K->5223K(22528K), 0.0086003 secs]
[GC (Allocation Failure)  17511K->4679K(22528K), 0.0039974 secs]
[GC (Allocation Failure)  16967K->6615K(22528K), 0.0245862 secs]
[GC (Allocation Failure)  18903K->6455K(22528K), 0.0186710 secs]
[GC (Allocation Failure)  18743K->5847K(22528K), 0.0142021 secs]
[GC (Allocation Failure)  18135K->5239K(22528K), 0.0061240 secs]
[GC (Allocation Failure)  17527K->4663K(22528K), 0.0010955 secs]
[GC (Allocation Failure)  16951K->6703K(22528K), 0.0235751 secs]
[GC (Allocation Failure)  18991K->6255K(22528K), 0.0169241 secs]
[GC (Allocation Failure)  18543K->5679K(22528K), 0.0085519 secs]
[GC (Allocation Failure)  17967K->5007K(22528K), 0.0034440 secs]
[GC (Allocation Failure)  17295K->7007K(22528K), 0.0230540 secs]
[GC (Allocation Failure)  19295K->6719K(22528K), 0.0173648 secs]
[GC (Allocation Failure)  19007K->6175K(22528K), 0.0101123 secs]
[GC (Allocation Failure)  18463K->5567K(22528K), 0.0051902 secs]
[GC (Allocation Failure)  17855K->7575K(22528K), 0.0295386 secs]
[GC (Allocation Failure)  19863K->7575K(22528K), 0.0206974 secs]
[GC (Allocation Failure)  19863K->6999K(22528K), 0.0176683 secs]
[GC (Allocation Failure)  19287K->6391K(22528K), 0.0060275 secs]
[GC (Allocation Failure)  18679K->5847K(22528K), 0.0021110 secs]
[GC (Allocation Failure)  18135K->7791K(22528K), 0.0173515 secs]
[GC (Allocation Failure)  20079K->7407K(22528K), 0.0173294 secs]
[GC (Allocation Failure)  19695K->6863K(22528K), 0.0082563 secs]
[GC (Allocation Failure)  19151K->6351K(22528K), 0.0039291 secs]
[GC (Allocation Failure)  18639K->8271K(22528K), 0.0251174 secs]
[GC (Allocation Failure)  20559K->8239K(22528K), 0.0177955 secs]
[GC (Allocation Failure)  20527K->7631K(22528K), 0.0127877 secs]
[GC (Allocation Failure)  19919K->7023K(22528K), 0.0063055 secs]
[GC (Allocation Failure)  19311K->6511K(22528K), 0.0014579 secs]
[GC (Allocation Failure)  18799K->8391K(22528K), 0.0166821 secs]
[GC (Allocation Failure)  20679K->7911K(22528K), 0.0186152 secs]
[GC (Allocation Failure)  20199K->7335K(22528K), 0.0087548 secs]
[GC (Allocation Failure)  19623K->6855K(22528K), 0.0042093 secs]
[GC (Allocation Failure)  19143K->8799K(22528K), 0.0258941 secs]
[GC (Allocation Failure)  21087K->8639K(22528K), 0.0202339 secs]
[GC (Allocation Failure)  20927K->8063K(22528K), 0.0127765 secs]
[GC (Allocation Failure)  20351K->7487K(22528K), 0.0058664 secs]
[GC (Allocation Failure)  19775K->6815K(22528K), 0.0011910 secs]
[GC (Allocation Failure)  19103K->8839K(22528K), 0.0158427 secs]
[GC (Allocation Failure)  21127K->8327K(22528K), 0.0136148 secs]
[GC (Allocation Failure)  20615K->7687K(22528K), 0.0074519 secs]
[GC (Allocation Failure)  19975K->7207K(22528K), 0.0029035 secs]
[GC (Allocation Failure)  19495K->9135K(22528K), 0.0247486 secs]
[GC (Allocation Failure)  21423K->8847K(22528K), 0.0140223 secs]
[GC (Allocation Failure)  21135K->8303K(22528K), 0.0116873 secs]
[GC (Allocation Failure)  20591K->7791K(22528K), 0.0045430 secs]
[GC (Allocation Failure)  20079K->9679K(22528K), 0.0241725 secs]
[Full GC (Ergonomics)  9679K->4047K(22528K), 0.0688393 secs]
[GC (Allocation Failure)  16335K->6103K(22528K), 0.0285683 secs]
[GC (Allocation Failure)  18391K->5495K(22528K), 0.0164490 secs]
[GC (Allocation Failure)  17783K->4887K(22528K), 0.0085879 secs]
[GC (Allocation Failure)  17175K->4375K(22528K), 0.0027647 secs]
[GC (Allocation Failure)  16663K->6319K(22528K), 0.0270190 secs]
[GC (Allocation Failure)  18607K->5999K(22528K), 0.0137028 secs]
[GC (Allocation Failure)  18287K->5423K(22528K), 0.0082746 secs]
[GC (Allocation Failure)  17711K->4783K(22528K), 0.0044802 secs]
[GC (Allocation Failure)  17071K->6783K(22528K), 0.0259961 secs]
[GC (Allocation Failure)  19071K->6751K(22528K), 0.0152112 secs]
[GC (Allocation Failure)  19039K->6111K(22528K), 0.0125138 secs]
[GC (Allocation Failure)  18399K->5535K(22528K), 0.0075153 secs]
[GC (Allocation Failure)  17823K->4863K(22528K), 0.0018149 secs]
[GC (Allocation Failure)  17151K->6911K(22528K), 0.0210238 secs]
[GC (Allocation Failure)  19199K->6527K(22528K), 0.0168080 secs]
[GC (Allocation Failure)  18815K->5887K(22528K), 0.0096544 secs]
[GC (Allocation Failure)  18175K->5279K(22528K), 0.0045688 secs]
[GC (Allocation Failure)  17567K->7295K(22528K), 0.0230780 secs]
[GC (Allocation Failure)  19583K->7103K(22528K), 0.0153261 secs]
[GC (Allocation Failure)  19391K->6495K(22528K), 0.0106609 secs]
[GC (Allocation Failure)  18783K->6015K(22528K), 0.0069330 secs]
[GC (Allocation Failure)  18303K->7911K(22528K), 0.0265130 secs]
[GC (Allocation Failure)  20199K->7959K(22528K), 0.0219482 secs]
[GC (Allocation Failure)  20247K->7479K(22528K), 0.0163373 secs]
[GC (Allocation Failure)  19767K->6839K(22528K), 0.0078373 secs]
[GC (Allocation Failure)  19127K->6263K(22528K), 0.0028562 secs]
[GC (Allocation Failure)  18551K->8223K(22528K), 0.0207196 secs]
[GC (Allocation Failure)  20511K->7967K(22528K), 0.0158692 secs]
[GC (Allocation Failure)  20255K->7391K(22528K), 0.0104372 secs]
[GC (Allocation Failure)  19679K->6783K(22528K), 0.0041347 secs]
[GC (Allocation Failure)  19071K->8767K(22528K), 0.0199874 secs]
[GC (Allocation Failure)  21055K->8767K(22528K), 0.0173733 secs]
[GC (Allocation Failure)  21055K->8159K(22528K), 0.0128303 secs]
[GC (Allocation Failure)  20447K->7583K(22528K), 0.0082337 secs]
[GC (Allocation Failure)  19871K->7039K(22528K), 0.0021327 secs]
[GC (Allocation Failure)  19327K->8967K(22528K), 0.0239008 secs]
[GC (Allocation Failure)  21255K->8615K(22528K), 0.0138960 secs]
[GC (Allocation Failure)  20903K->8039K(22528K), 0.0094508 secs]
[GC (Allocation Failure)  20327K->7431K(22528K), 0.0040971 secs]
[GC (Allocation Failure)  19719K->9423K(22528K), 0.0247372 secs]
[Full GC (Ergonomics)  9423K->3942K(22528K), 0.0507851 secs]
[GC (Allocation Failure)  16230K->5798K(22528K), 0.0246524 secs]
[GC (Allocation Failure)  18086K->5286K(22528K), 0.0122783 secs]
[GC (Allocation Failure)  17574K->4710K(22528K), 0.0060325 secs]
[GC (Allocation Failure)  16998K->4102K(22528K), 0.0012188 secs]
[GC (Allocation Failure)  16390K->6086K(22528K), 0.0217305 secs]
[GC (Allocation Failure)  18374K->5606K(22528K), 0.0157484 secs]
[GC (Allocation Failure)  17894K->5030K(22528K), 0.0085000 secs]
[GC (Allocation Failure)  17318K->4454K(22528K), 0.0037091 secs]
[GC (Allocation Failure)  16742K->6462K(22528K), 0.0202163 secs]
[GC (Allocation Failure)  18750K->6270K(22528K), 0.0139593 secs]
[GC (Allocation Failure)  18558K->5694K(22528K), 0.0117532 secs]
[GC (Allocation Failure)  17982K->5182K(22528K), 0.0051654 secs]
[GC (Allocation Failure)  17470K->7070K(22528K), 0.0190587 secs]
[GC (Allocation Failure)  19358K->7086K(22528K), 0.0199264 secs]
[GC (Allocation Failure)  19374K->6574K(22528K), 0.0150395 secs]
[GC (Allocation Failure)  18862K->5934K(22528K), 0.0083405 secs]
[GC (Allocation Failure)  18222K->5390K(22528K), 0.0030620 secs]
[GC (Allocation Failure)  17678K->7350K(22528K), 0.0213167 secs]
[GC (Allocation Failure)  19638K->7094K(22528K), 0.0161191 secs]
[GC (Allocation Failure)  19382K->6422K(22528K), 0.0098781 secs]
[GC (Allocation Failure)  18710K->5910K(22528K), 0.0054416 secs]
[GC (Allocation Failure)  18198K->7894K(22528K), 0.0234199 secs]
[GC (Allocation Failure)  20182K->7830K(22528K), 0.0196487 secs]
[GC (Allocation Failure)  20118K->7286K(22528K), 0.0130777 secs]
[GC (Allocation Failure)  19574K->6710K(22528K), 0.0062434 secs]
[GC (Allocation Failure)  18998K->6198K(22528K), 0.0015986 secs]
[GC (Allocation Failure)  18486K->8070K(22528K), 0.0177105 secs]
[GC (Allocation Failure)  20358K->7718K(22528K), 0.0177223 secs]
[GC (Allocation Failure)  20006K->7142K(22528K), 0.0083233 secs]
[GC (Allocation Failure)  19430K->6534K(22528K), 0.0039589 secs]
[GC (Allocation Failure)  18822K->8494K(22528K), 0.0190544 secs]
[GC (Allocation Failure)  20782K->8366K(22528K), 0.0169810 secs]
[GC (Allocation Failure)  20654K->7790K(22528K), 0.0112222 secs]
[GC (Allocation Failure)  20078K->7182K(22528K), 0.0053956 secs]
[GC (Allocation Failure)  19470K->6574K(22528K), 0.0016720 secs]
[GC (Allocation Failure)  18862K->8590K(22528K), 0.0229718 secs]
[GC (Allocation Failure)  20878K->8142K(22528K), 0.0162635 secs]
[GC (Allocation Failure)  20430K->7630K(22528K), 0.0078030 secs]
[GC (Allocation Failure)  19918K->7022K(22528K), 0.0029966 secs]
[GC (Allocation Failure)  19310K->8942K(22528K), 0.0189344 secs]
[GC (Allocation Failure)  21230K->8686K(22528K), 0.0198382 secs]
[GC (Allocation Failure)  20974K->8174K(22528K), 0.0094695 secs]
[GC (Allocation Failure)  20462K->7566K(22528K), 0.0050744 secs]
[GC (Allocation Failure)  19854K->9550K(22528K), 0.0302615 secs]
