[Full GC (Ergonomics)  20476K->4546K(22528K), 0.0106404 secs]
[GC (Allocation Failure) -- 16834K->20474K(22528K), 0.0272399 secs]
[Full GC (Ergonomics)  20474K->16817K(22528K), 0.0533235 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0114240 secs]
[Full GC (Ergonomics)  20473K->4552K(22528K), 0.0116954 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0267692 secs]
[Full GC (Ergonomics)  20472K->16835K(22528K), 0.0497314 secs]
[GC (Allocation Failure) -- 20422K->20478K(22528K), 0.0096297 secs]
[Full GC (Ergonomics)  20478K->4548K(22528K), 0.0105396 secs]
[GC (Allocation Failure) -- 16836K->20476K(22528K), 0.0259605 secs]
[Full GC (Ergonomics)  20476K->16832K(22528K), 0.0496459 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0093639 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0105769 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0261295 secs]
[Full GC (Ergonomics)  20479K->16837K(22528K), 0.0511907 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0108171 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0103936 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0230735 secs]
[Full GC (Ergonomics)  20479K->16835K(22528K), 0.0520843 secs]
[GC (Allocation Failure) -- 20429K->20477K(22528K), 0.0112709 secs]
[Full GC (Ergonomics)  20477K->4555K(22528K), 0.0107234 secs]
[GC (Allocation Failure) -- 16843K->20475K(22528K), 0.0282555 secs]
[Full GC (Ergonomics)  20475K->16840K(22528K), 0.0538126 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0125410 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0107666 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0282466 secs]
[Full GC (Ergonomics)  20479K->16836K(22528K), 0.0536577 secs]
[GC (Allocation Failure) -- 20429K->20477K(22528K), 0.0126375 secs]
[Full GC (Ergonomics)  20477K->4555K(22528K), 0.0110421 secs]
[GC (Allocation Failure) -- 16843K->20475K(22528K), 0.0288136 secs]
[Full GC (Ergonomics)  20475K->16841K(22528K), 0.0505578 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0117427 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0093502 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0287724 secs]
[Full GC (Ergonomics)  20477K->16819K(22528K), 0.0546065 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0104735 secs]
[Full GC (Ergonomics)  20474K->4553K(22528K), 0.0104207 secs]
[GC (Allocation Failure) -- 16841K->20473K(22528K), 0.0272317 secs]
[Full GC (Ergonomics)  20473K->16836K(22528K), 0.0496731 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0099783 secs]
[Full GC (Ergonomics)  20477K->4547K(22528K), 0.0116271 secs]
[GC (Allocation Failure) -- 16835K->20475K(22528K), 0.0268978 secs]
[Full GC (Ergonomics)  20475K->16833K(22528K), 0.0512971 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0096119 secs]
[Full GC (Ergonomics)  20472K->4550K(22528K), 0.0094765 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0272707 secs]
[Full GC (Ergonomics)  20478K->16834K(22528K), 0.0513104 secs]
[GC (Allocation Failure) -- 20433K->20473K(22528K), 0.0120593 secs]
[Full GC (Ergonomics)  20473K->4559K(22528K), 0.0103498 secs]
[GC (Allocation Failure) -- 16847K->20479K(22528K), 0.0284679 secs]
[Full GC (Ergonomics)  20479K->16841K(22528K), 0.0518029 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0114735 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0108927 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0280696 secs]
[Full GC (Ergonomics)  20479K->16837K(22528K), 0.0519401 secs]
[GC (Allocation Failure) -- 20426K->20474K(22528K), 0.0114770 secs]
[Full GC (Ergonomics)  20474K->4552K(22528K), 0.0106026 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0282000 secs]
[Full GC (Ergonomics)  20472K->16836K(22528K), 0.0524719 secs]
[GC (Allocation Failure) -- 20422K->20478K(22528K), 0.0118479 secs]
[Full GC (Ergonomics)  20478K->4548K(22528K), 0.0115382 secs]
[GC (Allocation Failure) -- 16836K->20476K(22528K), 0.0464543 secs]
[Full GC (Ergonomics)  20476K->16835K(22528K), 0.0514678 secs]
[GC (Allocation Failure) -- 20451K->20475K(22528K), 0.0126706 secs]
[Full GC (Ergonomics)  20475K->4577K(22528K), 0.0103450 secs]
[GC (Allocation Failure) -- 16865K->20473K(22528K), 0.0451204 secs]
[Full GC (Ergonomics)  20473K->16863K(22528K), 0.0519173 secs]
[GC (Allocation Failure) -- 20421K->20477K(22528K), 0.0121485 secs]
[Full GC (Ergonomics)  20477K->4549K(22528K), 0.0108761 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0459987 secs]
[Full GC (Ergonomics)  20477K->16826K(22528K), 0.0520914 secs]
[GC (Allocation Failure) -- 20427K->20475K(22528K), 0.0135664 secs]
[Full GC (Ergonomics)  20475K->4554K(22528K), 0.0113452 secs]
[GC (Allocation Failure) -- 16842K->20474K(22528K), 0.0523298 secs]
[Full GC (Ergonomics)  20474K->16838K(22528K), 0.0554164 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0137911 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0121050 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0472902 secs]
[Full GC (Ergonomics)  20477K->16833K(22528K), 0.0539872 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0136026 secs]
[Full GC (Ergonomics)  20472K->4550K(22528K), 0.0107920 secs]
[GC (Allocation Failure) -- 16838K->20478K(22528K), 0.0462792 secs]
[Full GC (Ergonomics)  20478K->16835K(22528K), 0.0544106 secs]
[GC (Allocation Failure) -- 20454K->20478K(22528K), 0.0128177 secs]
[Full GC (Ergonomics)  20478K->4580K(22528K), 0.0115886 secs]
[GC (Allocation Failure) -- 16868K->20476K(22528K), 0.0458537 secs]
[Full GC (Ergonomics)  20476K->16864K(22528K), 0.0541557 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0129343 secs]
[Full GC (Ergonomics)  20473K->4552K(22528K), 0.0113021 secs]
[GC (Allocation Failure) -- 16840K->20472K(22528K), 0.0472952 secs]
[Full GC (Ergonomics)  20472K->16828K(22528K), 0.0523835 secs]
[GC (Allocation Failure) -- 20420K->20476K(22528K), 0.0120268 secs]
[Full GC (Ergonomics)  20476K->4547K(22528K), 0.0106431 secs]
[GC (Allocation Failure) -- 16835K->20475K(22528K), 0.0462973 secs]
[Full GC (Ergonomics)  20475K->16833K(22528K), 0.0512023 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0120901 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0107699 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0465927 secs]
[Full GC (Ergonomics)  20477K->16835K(22528K), 0.0564611 secs]
[GC (Allocation Failure) -- 20425K->20473K(22528K), 0.0122835 secs]
[Full GC (Ergonomics)  20473K->4551K(22528K), 0.0113869 secs]
[GC (Allocation Failure) -- 16839K->20479K(22528K), 0.0423714 secs]
[Full GC (Ergonomics)  20479K->16835K(22528K), 0.0503516 secs]
[GC (Allocation Failure) -- 20427K->20475K(22528K), 0.0121106 secs]
[Full GC (Ergonomics)  20475K->4553K(22528K), 0.0108490 secs]
[GC (Allocation Failure) -- 16841K->20473K(22528K), 0.0457882 secs]
[Full GC (Ergonomics)  20473K->16839K(22528K), 0.0534566 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0124235 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0105339 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0467237 secs]
[Full GC (Ergonomics)  20477K->16835K(22528K), 0.0543877 secs]
[GC (Allocation Failure) -- 20423K->20479K(22528K), 0.0127489 secs]
[Full GC (Ergonomics)  20479K->4549K(22528K), 0.0116289 secs]
[GC (Allocation Failure) -- 16837K->20477K(22528K), 0.0400252 secs]
[Full GC (Ergonomics)  20477K->16835K(22528K), 0.0512730 secs]
[GC (Allocation Failure) -- 20424K->20472K(22528K), 0.0143194 secs]
