[GC (System.gc())  8714K->1880K(61440K), 0.0025067 secs]
[Full GC (System.gc())  1880K->1722K(61440K), 0.0099184 secs]
[GC (Allocation Failure)  26298K->10530K(61440K), 0.0141198 secs]
[GC (Allocation Failure)  35106K->8122K(61440K), 0.0031917 secs]
[GC (Allocation Failure)  32698K->16810K(61440K), 0.0173396 secs]
[GC (Allocation Failure)  41386K->15930K(61440K), 0.0047756 secs]
[GC (Allocation Failure)  40506K->24634K(61440K), 0.0190172 secs]
[GC (Allocation Failure)  49210K->25170K(61440K), 0.0069705 secs]
[GC (Allocation Failure)  49746K->34546K(61440K), 0.0218694 secs]
[Full GC (Ergonomics)  34546K->14844K(61440K), 0.0487474 secs]
[GC (Allocation Failure)  39420K->21044K(61440K), 0.0132373 secs]
[GC (Allocation Failure)  45620K->31956K(61440K), 0.0298476 secs]
[Full GC (Ergonomics)  31956K->16373K(61440K), 0.0567894 secs]
[GC (Allocation Failure)  40949K->24101K(61440K), 0.0171015 secs]
[GC (Allocation Failure)  48677K->20669K(61440K), 0.0015528 secs]
[GC (Allocation Failure)  45245K->29325K(61440K), 0.0186075 secs]
[Full GC (Ergonomics)  29325K->10735K(61440K), 0.0421142 secs]
[GC (Allocation Failure)  35311K->12879K(61440K), 0.0046574 secs]
[GC (Allocation Failure)  37455K->21583K(61440K), 0.0246170 secs]
[GC (Allocation Failure)  46159K->21215K(61440K), 0.0070991 secs]
[GC (Allocation Failure)  45791K->29935K(61440K), 0.0240563 secs]
[Full GC (Ergonomics)  29935K->13799K(61440K), 0.0471855 secs]
[GC (Allocation Failure)  38375K->18935K(61440K), 0.0074706 secs]
[GC (Allocation Failure)  43511K->28799K(61440K), 0.0237846 secs]
[Full GC (Ergonomics)  28799K->15331K(61440K), 0.0485178 secs]
[GC (Allocation Failure)  39907K->21995K(61440K), 0.0133553 secs]
[GC (Allocation Failure)  46571K->33411K(61440K), 0.0282219 secs]
[Full GC (Ergonomics)  33411K->16863K(61440K), 0.0557800 secs]
[GC (Allocation Failure)  41439K->25103K(61440K), 0.0159519 secs]
[Full GC (Ergonomics)  25103K->9693K(61440K), 0.0312001 secs]
[GC (Allocation Failure)  34269K->10781K(61440K), 0.0017679 secs]
[GC (Allocation Failure)  35357K->19485K(61440K), 0.0179779 secs]
[GC (Allocation Failure)  44061K->18037K(61440K), 0.0047553 secs]
[GC (Allocation Failure)  42613K->26781K(61440K), 0.0183560 secs]
[Full GC (Ergonomics)  26781K->12757K(61440K), 0.0401961 secs]
[GC (Allocation Failure)  37333K->16885K(61440K), 0.0083843 secs]
[GC (Allocation Failure)  41461K->25685K(61440K), 0.0239561 secs]
[Full GC (Ergonomics)  25685K->14289K(61440K), 0.0455564 secs]
[GC (Allocation Failure)  38865K->19905K(61440K), 0.0107416 secs]
[GC (Allocation Failure)  44481K->30257K(61440K), 0.0262099 secs]
[Full GC (Ergonomics)  30257K->15821K(61440K), 0.0551773 secs]
[GC (Allocation Failure)  40397K->23005K(61440K), 0.0136082 secs]
[Full GC (Ergonomics)  23005K->8652K(61440K), 0.0283206 secs]
[GC (Allocation Failure)  33228K->24660K(61440K), 0.0298310 secs]
[Full GC (Ergonomics)  24660K->17354K(61440K), 0.0552828 secs]
[Full GC (Ergonomics)  41930K->10184K(61440K), 0.0310988 secs]
[GC (Allocation Failure)  34760K->11784K(61440K), 0.0027612 secs]
[GC (Allocation Failure)  36360K->20464K(61440K), 0.0175616 secs]
[GC (Allocation Failure)  45040K->19536K(61440K), 0.0054759 secs]
[GC (Allocation Failure)  44112K->28272K(61440K), 0.0193226 secs]
[Full GC (Ergonomics)  28272K->13248K(61440K), 0.0434152 secs]
[GC (Allocation Failure)  37824K->17808K(61440K), 0.0075168 secs]
[GC (Allocation Failure)  42384K->27112K(61440K), 0.0231902 secs]
[Full GC (Ergonomics)  27112K->14780K(61440K), 0.0483543 secs]
[GC (Allocation Failure)  39356K->20892K(61440K), 0.0116095 secs]
[GC (Allocation Failure)  45468K->31764K(61440K), 0.0273741 secs]
[Full GC (Ergonomics)  31764K->16312K(61440K), 0.0524573 secs]
[GC (Allocation Failure)  40888K->23984K(61440K), 0.0148948 secs]
[Full GC (Ergonomics)  23984K->9142K(61440K), 0.0282732 secs]
[GC (Allocation Failure)  33718K->9718K(61440K), 0.0022045 secs]
[GC (Allocation Failure)  34294K->18374K(61440K), 0.0137823 secs]
[GC (Allocation Failure)  42950K->16390K(61440K), 0.0038437 secs]
[GC (Allocation Failure)  40966K->25094K(61440K), 0.0180986 secs]
[Full GC (Ergonomics)  25094K->12206K(61440K), 0.0399762 secs]
[GC (Allocation Failure)  36782K->15822K(61440K), 0.0074468 secs]
[GC (Allocation Failure)  40398K->24542K(61440K), 0.0213329 secs]
[Full GC (Ergonomics)  24542K->13738K(61440K), 0.0471324 secs]
[GC (Allocation Failure)  38314K->18794K(61440K), 0.0105395 secs]
